COMPANY;MES;ANO;DATA_PARCELA_1;PARCELA1;DATA_PARCELA_2;PARCELA_2;DATA_PARCELA_3;PARCELA_3
3f0efb1fad24f56f3f2b9ef9466a97bcc275937b444d7253690cc98ba0bb7a72;5;2019;15/06/19;0;25/06/19;2909,3475;05/07/19;0
43261d5727c06339359c5f0aace80318821cac1141a039987b63b6a1a64bdd36;5;2019;15/06/19;324281,5725;25/06/19;324281,5725;05/07/19;324281,565
bac2ea73eff76151887853ea0513bcceba99078c5efc7e96d31ae9a3880dd2ed;5;2019;15/06/19;0;25/06/19;53606,6025;05/07/19;0
0f074171fb28ccc58f8761a2dce884108d92c1db5023767bae698f2b307a1791;5;2019;15/06/19;0;25/06/19;233,04;05/07/19;0
2ac35a25673eaa7771f283c04ed8d5488c09e67e3912bd4672a0989775cfcf62;5;2019;15/06/19;115498,5825;25/06/19;115498,5825;05/07/19;115498,575
c9c4364be2a27be717cebf3ade3d3137e9fe978b25fe0d3da5c13f21e365b0a0;5;2019;15/06/19;0;25/06/19;102829,9875;05/07/19;0
50899a7c990b481f18a4ef5e1bdfa5f74cead1dbe70f8b0e7b85f49247f7543f;5;2019;15/06/19;0;25/06/19;10301,175;05/07/19;0
13e8029d70913f8483aa06a67dc0a7c8bc8f0810938e8c2fe459f8b78a537d7f;5;2019;15/06/19;0;25/06/19;41274,5475;05/07/19;0
2cad427f444c0a78b7528ce4b19d2785717093455a5f7c06a3bb25335a05133a;5;2019;15/06/19;0;25/06/19;7585,155;05/07/19;0
0ab6396c04f71b461d43bb48b3a7cacffcc09252aacb1bd519cd1f2ba5ba6cbe;5;2019;15/06/19;0;25/06/19;16587,9525;05/07/19;0
4aeda8377389acfbc604d5fa78cb4d17dcd5320213a1d60c8b3f51f6673d8505;5;2019;15/06/19;0;25/06/19;344622,27;05/07/19;0
2cad427f444c0a78b7528ce4b19d2785717093455a5f7c06a3bb25335a05133a;5;2019;15/06/19;0;25/06/19;1544,28;05/07/19;0
40659c5ecd638066aa5ef2b7a62956b1600c84c0e49aeadd844488ae23ac90de;5;2019;15/06/19;24461,985;25/06/19;24461,985;05/07/19;24461,9775
0ab6396c04f71b461d43bb48b3a7cacffcc09252aacb1bd519cd1f2ba5ba6cbe;5;2019;15/06/19;0;25/06/19;35656,8525;05/07/19;0
13e8029d70913f8483aa06a67dc0a7c8bc8f0810938e8c2fe459f8b78a537d7f;5;2019;15/06/19;0;25/06/19;12399,5475;05/07/19;0
cb1f53e634bb83b35b3299fb6a00d6e15fb71b742496dedda49ee6e267e7b810;5;2019;15/06/19;0;25/06/19;365396,265;05/07/19;0
